iter	Passed	Remaining
400	23446	35023
401	23519	34987
402	23593	34951
403	23655	34897
404	23731	34864
405	23865	34916
406	23955	34903
407	24053	34901
408	24138	34880
409	24197	34821
410	24255	34759
411	24313	34699
412	24364	34629
413	24405	34545
414	24450	34466
415	24501	34396
416	24549	34321
417	24598	34249
418	24642	34169
419	24684	34088
420	24745	34031
421	24795	33961
422	24839	33883
423	24896	33821
424	24949	33754
425	25010	33699
426	25064	33634
427	25112	33561
428	25180	33515
429	25251	33472
430	25308	33411
431	25360	33344
432	25418	33284
433	25481	33231
434	25531	33162
435	25595	33109
436	25647	33042
437	25695	32970
438	25740	32893
439	25791	32825
440	25844	32760
441	25902	32701
442	25951	32630
443	26004	32564
444	26053	32493
445	26096	32416
446	26147	32348
447	26194	32275
448	26236	32196
449	26285	32126
450	26332	32054
451	26378	31980
452	26423	31906
453	26461	31823
454	26506	31749
455	26549	31673
456	26589	31593
457	26646	31533
458	26690	31458
459	26735	31384
460	26782	31314
461	26841	31257
462	26908	31209
463	26982	31169
464	27060	31133
465	27131	31090
466	27205	31050
467	27272	31002
468	27335	30949
469	27396	30893
470	27445	30825
471	27504	30768
472	27575	30724
473	27641	30673
474	27718	30635
475	27785	30587
476	27864	30551
477	27967	30542
478	28023	30480
479	28076	30416
480	28125	30347
481	28166	30270
482	28216	30203
483	28264	30133
484	28309	30060
485	28353	29986
486	28412	29929
487	28476	29877
488	28524	29807
489	28589	29756
490	28636	29686
491	28701	29635
492	28882	29702
493	28958	29661
494	29017	29603
495	29084	29553
496	29146	29498
497	29205	29440
498	29251	29368
499	29297	29297
500	29354	29237
501	29402	29168
502	29460	29109
503	29512	29044
504	29585	28999
505	29650	28947
506	29727	28906
507	29854	28913
508	29969	28910
509	30028	28850
510	30120	28823
511	30189	28774
512	30259	28725
513	30328	28675
514	30394	28624
515	30462	28573
516	30514	28507
517	30570	28446
518	30633	28390
519	30684	28324
520	30738	28260
521	30797	28201
522	30857	28143
523	30931	28097
524	30987	28036
525	31040	27972
526	31106	27918
527	31168	27862
528	31224	27800
529	31290	27748
530	31350	27689
531	31426	27646
532	31536	27631
533	31622	27595
534	31695	27548
535	31770	27503
536	31833	27446
537	31906	27398
538	31969	27343
539	32036	27289
540	32104	27238
541	32165	27180
542	32233	27128
543	32309	27082
544	32371	27025
545	32429	26964
546	32490	26906
547	32551	26848
548	32604	26784
549	32659	26721
550	32710	26655
551	32760	26588
552	32812	26522
553	32856	26451
554	32903	26382
555	32959	26319
556	33014	26257
557	33060	26188
558	33106	26118
559	33155	26051
560	33201	25980
561	33243	25908
562	33291	25840
563	33337	25771
564	33383	25702
565	33424	25629
566	33472	25561
567	33524	25497
568	33565	25425
569	33608	25354
570	33649	25281
571	33700	25216
572	33790	25180
573	33887	25150
574	33968	25107
575	34036	25054
576	34109	25005
577	34202	24971
578	34262	24912
579	34330	24859
580	34400	24808
581	34459	24749
582	34510	24684
583	34565	24622
584	34611	24553
585	34651	24480
586	34703	24416
587	34749	24348
588	34806	24287
589	34858	24223
590	34909	24159
591	34967	24099
592	35014	24032
593	35059	23963
594	35099	23890
595	35142	23821
596	35188	23753
597	35232	23684
598	35275	23615
599	35328	23552
600	35375	23485
601	35423	23419
602	35464	23349
603	35521	23288
604	35579	23229
605	35636	23169
606	35684	23103
607	35748	23048
608	35797	22983
609	35845	22917
610	35896	22853
611	35950	22792
612	35994	22723
613	36037	22655
614	36083	22589
